Landmarks,47,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,g,normal,7.853516e+00,-2.771215e+02,1.720273e+01,1.693017e-01,-9.851427e-01,2.882344e-02
2,op,normal,7.853516e+00,-9.527987e+01,-1.836251e+01,-1.371735e-01,9.891751e-01,5.211681e-02
3,n,normal,7.853516e+00,-2.736797e+02,3.435543e+00,2.007292e-01,-8.362377e-01,-5.103079e-01
4,op_n,normal,7.853516e+00,-9.700076e+01,6.877340e+00,5.682350e-03,9.986600e-01,5.143841e-02
5,eu_l,normal,7.770118e+01,-1.635422e+02,1.734961e+01,9.967784e-01,3.979740e-02,-6.963503e-02
6,eu_r,normal,-7.488517e+01,-1.629686e+02,1.734961e+01,-9.975308e-01,-5.606235e-02,4.230213e-02
7,zy_l,normal,7.196486e+01,-2.031228e+02,-3.265039e+01,9.467061e-01,3.196431e-03,3.220829e-01
8,zy_r,normal,-6.914883e+01,-2.197582e+02,-2.665039e+01,-9.349459e-01,-3.029775e-01,-1.846100e-01
9,ra_l,normal,6.393399e+01,-1.744412e+02,-3.465039e+01,3.481932e-01,2.857555e-02,-9.369872e-01
10,ra_r,normal,-5.997071e+01,-1.801775e+02,-3.465039e+01,-9.977390e-01,-9.360933e-03,6.655364e-02
11,ast_l,normal,1.129889e+02,-9.149506e+01,-3.189928e+01,9.949042e-01,1.001982e-01,1.122533e-02
12,ast_r,normal,-5.950898e+01,-1.263708e+02,-1.533256e+01,-8.622589e-01,4.927655e-01,-1.170110e-01
13,ba,normal,8.261719e+00,-1.780672e+02,-6.023195e+01,7.282046e-01,1.316141e-01,6.726037e-01
14,en_ba,normal,8.261719e+00,-1.697178e+02,-5.679399e+01,-5.050911e-01,8.586245e-01,8.744761e-02
15,o,normal,8.261719e+00,-1.476167e+02,-5.826741e+01,-7.253127e-01,-6.267034e-01,2.848936e-01
16,foram_l,normal,-1.859852e+01,-1.492383e+02,-5.537858e+01,9.096126e-01,-4.114344e-01,-5.767625e-02
17,foram_r,normal,9.372910e+00,-1.492383e+02,-5.833709e+01,-8.792797e-01,-3.894779e-01,2.741787e-01
18,alv,normal,-1.212661e+00,-2.203050e+02,-5.665039e+01,-1.351587e-01,6.551443e-01,7.433157e-01
19,ecm_l,missing,9999,9999,9999,9999,9999,9999
20,ecm_r,missing,9999,9999,9999,9999,9999,9999
21,pr,missing,9999,9999,9999,9999,9999,9999
22,ns_l,normal,1.041100e+01,-2.702127e+02,-5.571264e+01,4.659667e-01,-8.718758e-01,-1.506904e-01
23,ns_r,normal,-5.126564e+00,-2.706845e+02,-5.426596e+01,-3.752479e-02,-9.982625e-01,4.543143e-02
24,al_l,normal,1.589039e+01,-2.693291e+02,-4.820201e+01,2.123915e-01,-9.680390e-01,-1.333802e-01
25,al_r,normal,-9.935474e+00,-2.696276e+02,-4.626266e+01,-6.000797e-01,-7.954783e-01,-8.437112e-02
26,zma_l,normal,5.051663e+01,-2.474010e+02,-5.582088e+01,2.996436e-01,-6.367714e-01,-7.104477e-01
27,zma_r,normal,-4.657269e+01,-2.520234e+02,-4.742046e+01,-3.832753e-01,-5.815656e-01,-7.175523e-01
28,zo_l,normal,4.295551e+01,-2.589040e+02,-3.101844e+01,4.408203e-01,-7.029749e-01,5.581251e-01
29,zo_r,normal,-2.518494e+01,-2.631663e+02,-2.260172e+01,-2.162423e-01,-3.784792e-01,8.999960e-01
30,ftm_l,normal,6.307001e+01,-2.484694e+02,-3.316307e-01,9.308783e-01,-2.819697e-01,-2.322901e-01
31,ftm_r,normal,-5.062968e+01,-2.512179e+02,7.731026e+00,-9.856964e-01,3.424920e-02,1.650143e-01
32,ft_l,normal,5.882527e+01,-2.473480e+02,1.914326e+01,9.147398e-01,-3.871970e-01,1.154535e-01
33,ft_r,normal,-4.472763e+01,-2.534553e+02,2.449548e+01,-9.830241e-01,-1.551596e-01,9.792510e-02
34,b,normal,6.412811e-01,-1.965459e+02,9.288220e+01,-6.567896e-03,-7.710811e-03,9.999487e-01
35,l,normal,-1.163931e-01,-1.030949e+02,3.084418e+01,-4.297136e-02,9.369430e-01,3.468304e-01
36,po_l,normal,1.139416e+02,-1.758224e+02,-6.514487e+01,9.998323e-01,5.938272e-03,-1.732174e-02
37,ms_l,normal,5.748122e+01,-1.629508e+02,-6.728362e+01,2.660877e-01,-3.074692e-01,-9.135973e-01
38,po_r,normal,-1.160313e+02,-1.737851e+02,-3.844217e+01,-9.987055e-01,4.441659e-02,2.478614e-02
39,ms_r,normal,-1.158793e+02,-1.664965e+02,-6.396407e+01,-9.987056e-01,4.802256e-02,-1.676726e-02
40,d_l,normal,1.951677e+01,-2.625834e+02,-3.869698e+00,7.456260e-01,-5.445311e-01,-3.840931e-01
41,ec_l,normal,5.679451e+01,-2.467422e+02,-1.529841e+01,-1.100264e-01,-9.936368e-01,-2.408874e-02
42,orb_d_l,normal,3.226486e+01,-2.608647e+02,-2.651942e+01,6.288416e-01,-4.204406e-01,6.540550e-01
43,orb_u_l,normal,4.637408e+01,-2.628047e+02,6.044189e+00,6.200757e-02,-5.554885e-01,-8.292090e-01
44,d_r,normal,-6.095734e+00,-2.633039e+02,-2.906137e+00,-6.558158e-01,-7.066449e-01,-2.656288e-01
45,ec_r,normal,-4.741124e+01,-2.527695e+02,-9.615391e+00,-2.214923e-01,-9.729605e-01,6.549035e-02
46,orb_d_r,normal,-2.176091e+01,-2.639319e+02,-2.308501e+01,-1.070153e-01,-9.920288e-01,6.653301e-02
47,orb_u_r,normal,-3.351875e+01,-2.676738e+02,1.393061e+01,-4.595705e-01,-6.487151e-01,-6.066000e-01